"Row","Column","Plate","Read","RFU","OD600","date","time","datetime","Well.at.T","Temperature.C","Nitrogen.conc.uM","Salt.conc.g.l","Chlamy.y.n","Microbe","Plate.at.T","Notes","Replicate","Block","unique.id","days","carbon.added"
4,2,1,0,34,0.877,-1722,"11:01:31",2025-04-15 11:01:31,32,8,1000,0,"n","1",1,"","3",1,"b1.t8.p1.w32",0,TRUE
4,3,1,0,35,0.744,-1722,"11:01:31",2025-04-15 11:01:31,33,8,1000,0,"y","9",1,"","2",1,"b1.t8.p1.w33",0,TRUE
4,4,1,0,33,0.853,-1722,"11:01:31",2025-04-15 11:01:31,34,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w34",0,TRUE
4,5,1,0,41,0.873,-1722,"11:01:31",2025-04-15 11:01:31,35,8,1000,0,"y","1",1,"","1",1,"b1.t8.p1.w35",0,TRUE
4,6,1,0,36,0.993,-1722,"11:01:31",2025-04-15 11:01:31,36,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w36",0,TRUE
4,7,1,0,48,0.928,-1722,"11:01:31",2025-04-15 11:01:31,37,8,1000,0,"y","11",1,"","1",1,"b1.t8.p1.w37",0,TRUE
4,8,1,0,42,0.432,-1722,"11:01:31",2025-04-15 11:01:31,38,8,1000,0,"y","12",1,"","1",1,"b1.t8.p1.w38",0,TRUE
4,9,1,0,43,1.068,-1722,"11:01:31",2025-04-15 11:01:31,39,8,1000,0,"n","12",1,"","1",1,"b1.t8.p1.w39",0,TRUE
4,10,1,0,52,0.987,-1722,"11:01:31",2025-04-15 11:01:31,40,8,1000,0,"y","all",1,"","3",1,"b1.t8.p1.w40",0,TRUE
5,1,1,0,57,1.036,-1722,"11:01:31",2025-04-15 11:01:31,41,8,1000,0,"y","14",1,"","2",1,"b1.t8.p1.w41",0,TRUE
5,2,1,0,35,0.709,-1722,"11:01:31",2025-04-15 11:01:31,42,8,1000,0,"n","7",1,"","3",1,"b1.t8.p1.w42",0,TRUE
5,3,1,0,34,0.979,-1722,"11:01:31",2025-04-15 11:01:31,43,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w43",0,TRUE
5,4,1,0,36,0.816,-1722,"11:01:31",2025-04-15 11:01:31,44,8,1000,0,"y","3",1,"","3",1,"b1.t8.p1.w44",0,TRUE
5,5,1,0,30,0.939,-1722,"11:01:31",2025-04-15 11:01:31,45,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w45",0,TRUE
5,6,1,0,31,0.824,-1722,"11:01:31",2025-04-15 11:01:31,46,8,1000,0,"n","8",1,"","2",1,"b1.t8.p1.w46",0,TRUE
5,7,1,0,32,0.989,-1722,"11:01:31",2025-04-15 11:01:31,47,8,1000,0,"n","5",1,"","1",1,"b1.t8.p1.w47",0,TRUE
5,8,1,0,27,0.846,-1722,"11:01:31",2025-04-15 11:01:31,48,8,1000,0,"n","8",1,"","3",1,"b1.t8.p1.w48",0,TRUE
5,9,1,0,41,1.038,-1722,"11:01:31",2025-04-15 11:01:31,49,8,1000,0,"y","3",1,"","1",1,"b1.t8.p1.w49",0,TRUE
5,10,1,0,41,0.73,-1722,"11:01:31",2025-04-15 11:01:31,50,8,1000,0,"y","10",1,"","3",1,"b1.t8.p1.w50",0,TRUE
6,1,1,0,38,1.052,-1722,"11:01:31",2025-04-15 11:01:31,51,8,1000,0,"y","9",1,"","3",1,"b1.t8.p1.w51",0,TRUE
6,2,1,0,33,1.131,-1722,"11:01:31",2025-04-15 11:01:31,52,8,1000,0,"n","1",1,"","1",1,"b1.t8.p1.w52",0,TRUE
6,3,1,0,35,1,-1722,"11:01:31",2025-04-15 11:01:31,53,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w53",0,TRUE
6,4,1,0,35,0.918,-1722,"11:01:31",2025-04-15 11:01:31,54,8,1000,0,"n","3",1,"","1",1,"b1.t8.p1.w54",0,TRUE
6,5,1,0,31,0.821,-1722,"11:01:31",2025-04-15 11:01:31,55,8,1000,0,"n","7",1,"","1",1,"b1.t8.p1.w55",0,TRUE
6,6,1,0,29,0.944,-1722,"11:01:31",2025-04-15 11:01:31,56,8,1000,0,"n","13",1,"","2",1,"b1.t8.p1.w56",0,TRUE
6,7,1,0,30,0.774,-1722,"11:01:31",2025-04-15 11:01:31,57,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w57",0,TRUE
6,8,1,0,40,1.143,-1722,"11:01:31",2025-04-15 11:01:31,58,8,1000,0,"n","9",1,"","2",1,"b1.t8.p1.w58",0,TRUE
6,9,1,0,40,1.056,-1722,"11:01:31",2025-04-15 11:01:31,59,8,1000,0,"n","6",1,"","2",1,"b1.t8.p1.w59",0,TRUE
6,10,1,0,47,0.878,-1722,"11:01:31",2025-04-15 11:01:31,60,8,1000,0,"y","6",1,"","3",1,"b1.t8.p1.w60",0,TRUE
1,1,1,1,22,1.33,-1722,"20:03:02",2025-04-15 20:03:02,1,8,1000,0,"n","5",1,"","3",1,"b1.t8.p1.w1",0.376053240740741,TRUE
1,2,1,1,26,1.041,-1722,"20:03:02",2025-04-15 20:03:02,2,8,1000,0,"y","2",1,"","1",1,"b1.t8.p1.w2",0.376053240740741,TRUE
1,3,1,1,20,1.345,-1722,"20:03:02",2025-04-15 20:03:02,3,8,1000,0,"y","15",1,"","1",1,"b1.t8.p1.w3",0.376053240740741,TRUE
1,4,1,1,20,1.169,-1722,"20:03:02",2025-04-15 20:03:02,4,8,1000,0,"n","15",1,"","1",1,"b1.t8.p1.w4",0.376053240740741,TRUE
1,5,1,1,23,1.167,-1722,"20:03:02",2025-04-15 20:03:02,5,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w5",0.376053240740741,TRUE
1,6,1,1,21,0.742,-1722,"20:03:02",2025-04-15 20:03:02,6,8,1000,0,"y","7",1,"","1",1,"b1.t8.p1.w6",0.376053240740741,TRUE
1,7,1,1,26,1.242,-1722,"20:03:02",2025-04-15 20:03:02,7,8,1000,0,"y","4",1,"","2",1,"b1.t8.p1.w7",0.376053240740741,TRUE
1,8,1,1,21,1.236,-1722,"20:03:02",2025-04-15 20:03:02,8,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w8",0.376053240740741,TRUE
1,9,1,1,21,1.085,-1722,"20:03:02",2025-04-15 20:03:02,9,8,1000,0,"y","14",1,"","3",1,"b1.t8.p1.w9",0.376053240740741,TRUE
1,10,1,1,27,1.131,-1722,"20:03:02",2025-04-15 20:03:02,10,8,1000,0,"y","1",1,"","3",1,"b1.t8.p1.w10",0.376053240740741,TRUE
2,1,1,1,17,1.27,-1722,"20:03:02",2025-04-15 20:03:02,11,8,1000,0,"n","7",1,"","2",1,"b1.t8.p1.w11",0.376053240740741,TRUE
2,2,1,1,22,1.354,-1722,"20:03:02",2025-04-15 20:03:02,12,8,1000,0,"n","2",1,"","3",1,"b1.t8.p1.w12",0.376053240740741,TRUE
2,3,1,1,21,0.801,-1722,"20:03:02",2025-04-15 20:03:02,13,8,1000,0,"y","8",1,"","1",1,"b1.t8.p1.w13",0.376053240740741,TRUE
2,4,1,1,16,1.141,-1722,"20:03:02",2025-04-15 20:03:02,14,8,1000,0,"n","1",1,"","2",1,"b1.t8.p1.w14",0.376053240740741,TRUE
2,5,1,1,24,1.172,-1722,"20:03:02",2025-04-15 20:03:02,15,8,1000,0,"y","2",1,"","2",1,"b1.t8.p1.w15",0.376053240740741,TRUE
2,6,1,1,15,1.054,-1722,"20:03:02",2025-04-15 20:03:02,16,8,1000,0,"n","12",1,"","2",1,"b1.t8.p1.w16",0.376053240740741,TRUE
2,7,1,1,22,1.267,-1722,"20:03:02",2025-04-15 20:03:02,17,8,1000,0,"y","7",1,"","2",1,"b1.t8.p1.w17",0.376053240740741,TRUE
2,8,1,1,20,1.227,-1722,"20:03:02",2025-04-15 20:03:02,18,8,1000,0,"y","7",1,"","3",1,"b1.t8.p1.w18",0.376053240740741,TRUE
2,9,1,1,14,1.104,-1722,"20:03:02",2025-04-15 20:03:02,19,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w19",0.376053240740741,TRUE
2,10,1,1,19,0.967,-1722,"20:03:02",2025-04-15 20:03:02,20,8,1000,0,"n","13",1,"","1",1,"b1.t8.p1.w20",0.376053240740741,TRUE
3,1,1,1,21,1.224,-1722,"20:03:02",2025-04-15 20:03:02,21,8,1000,0,"n","14",1,"","1",1,"b1.t8.p1.w21",0.376053240740741,TRUE
3,2,1,1,24,1.126,-1722,"20:03:02",2025-04-15 20:03:02,22,8,1000,0,"n","4",1,"","3",1,"b1.t8.p1.w22",0.376053240740741,TRUE
3,3,1,1,25,1.098,-1722,"20:03:02",2025-04-15 20:03:02,23,8,1000,0,"y","14",1,"","1",1,"b1.t8.p1.w23",0.376053240740741,TRUE
3,4,1,1,16,1.44,-1722,"20:03:02",2025-04-15 20:03:02,24,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w24",0.376053240740741,TRUE
3,5,1,1,18,1.266,-1722,"20:03:02",2025-04-15 20:03:02,25,8,1000,0,"n","all",1,"","1",1,"b1.t8.p1.w25",0.376053240740741,TRUE
3,6,1,1,23,1.369,-1722,"20:03:02",2025-04-15 20:03:02,26,8,1000,0,"y","12",1,"","2",1,"b1.t8.p1.w26",0.376053240740741,TRUE
3,7,1,1,24,1.208,-1722,"20:03:02",2025-04-15 20:03:02,27,8,1000,0,"y","15",1,"","3",1,"b1.t8.p1.w27",0.376053240740741,TRUE
3,8,1,1,22,1.627,-1722,"20:03:02",2025-04-15 20:03:02,28,8,1000,0,"n","11",1,"","2",1,"b1.t8.p1.w28",0.376053240740741,TRUE
3,9,1,1,24,1.148,-1722,"20:03:02",2025-04-15 20:03:02,29,8,1000,0,"y","none",1,"","2",1,"b1.t8.p1.w29",0.376053240740741,TRUE
3,10,1,1,26,1.582,-1722,"20:03:02",2025-04-15 20:03:02,30,8,1000,0,"y","11",1,"","3",1,"b1.t8.p1.w30",0.376053240740741,TRUE
4,1,1,1,22,1.044,-1722,"20:03:02",2025-04-15 20:03:02,31,8,1000,0,"y","10",1,"","1",1,"b1.t8.p1.w31",0.376053240740741,TRUE
4,2,1,1,20,1.133,-1722,"20:03:02",2025-04-15 20:03:02,32,8,1000,0,"n","1",1,"","3",1,"b1.t8.p1.w32",0.376053240740741,TRUE
4,3,1,1,21,1.287,-1722,"20:03:02",2025-04-15 20:03:02,33,8,1000,0,"y","9",1,"","2",1,"b1.t8.p1.w33",0.376053240740741,TRUE
4,4,1,1,17,1.095,-1722,"20:03:02",2025-04-15 20:03:02,34,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w34",0.376053240740741,TRUE
4,5,1,1,23,1.108,-1722,"20:03:02",2025-04-15 20:03:02,35,8,1000,0,"y","1",1,"","1",1,"b1.t8.p1.w35",0.376053240740741,TRUE
4,6,1,1,14,1.274,-1722,"20:03:02",2025-04-15 20:03:02,36,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w36",0.376053240740741,TRUE
4,7,1,1,22,1.152,-1722,"20:03:02",2025-04-15 20:03:02,37,8,1000,0,"y","11",1,"","1",1,"b1.t8.p1.w37",0.376053240740741,TRUE
4,8,1,1,23,0.718,-1722,"20:03:02",2025-04-15 20:03:02,38,8,1000,0,"y","12",1,"","1",1,"b1.t8.p1.w38",0.376053240740741,TRUE
4,9,1,1,22,1.348,-1722,"20:03:02",2025-04-15 20:03:02,39,8,1000,0,"n","12",1,"","1",1,"b1.t8.p1.w39",0.376053240740741,TRUE
4,10,1,1,23,1.056,-1722,"20:03:02",2025-04-15 20:03:02,40,8,1000,0,"y","all",1,"","3",1,"b1.t8.p1.w40",0.376053240740741,TRUE
5,1,1,1,23,1.254,-1722,"20:03:02",2025-04-15 20:03:02,41,8,1000,0,"y","14",1,"","2",1,"b1.t8.p1.w41",0.376053240740741,TRUE
5,2,1,1,23,0.86,-1722,"20:03:02",2025-04-15 20:03:02,42,8,1000,0,"n","7",1,"","3",1,"b1.t8.p1.w42",0.376053240740741,TRUE
5,3,1,1,15,1.248,-1722,"20:03:02",2025-04-15 20:03:02,43,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w43",0.376053240740741,TRUE
5,4,1,1,22,0.973,-1722,"20:03:02",2025-04-15 20:03:02,44,8,1000,0,"y","3",1,"","3",1,"b1.t8.p1.w44",0.376053240740741,TRUE
5,5,1,1,18,1.164,-1722,"20:03:02",2025-04-15 20:03:02,45,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w45",0.376053240740741,TRUE
5,6,1,1,17,1.228,-1722,"20:03:02",2025-04-15 20:03:02,46,8,1000,0,"n","8",1,"","2",1,"b1.t8.p1.w46",0.376053240740741,TRUE
5,7,1,1,18,1.308,-1722,"20:03:02",2025-04-15 20:03:02,47,8,1000,0,"n","5",1,"","1",1,"b1.t8.p1.w47",0.376053240740741,TRUE
5,8,1,1,16,1.197,-1722,"20:03:02",2025-04-15 20:03:02,48,8,1000,0,"n","8",1,"","3",1,"b1.t8.p1.w48",0.376053240740741,TRUE
5,9,1,1,24,1.359,-1722,"20:03:02",2025-04-15 20:03:02,49,8,1000,0,"y","3",1,"","1",1,"b1.t8.p1.w49",0.376053240740741,TRUE
5,10,1,1,23,0.912,-1722,"20:03:02",2025-04-15 20:03:02,50,8,1000,0,"y","10",1,"","3",1,"b1.t8.p1.w50",0.376053240740741,TRUE
6,1,1,1,22,1.302,-1722,"20:03:02",2025-04-15 20:03:02,51,8,1000,0,"y","9",1,"","3",1,"b1.t8.p1.w51",0.376053240740741,TRUE
6,2,1,1,16,1.277,-1722,"20:03:02",2025-04-15 20:03:02,52,8,1000,0,"n","1",1,"","1",1,"b1.t8.p1.w52",0.376053240740741,TRUE
6,3,1,1,20,1.258,-1722,"20:03:02",2025-04-15 20:03:02,53,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w53",0.376053240740741,TRUE
6,4,1,1,20,1.094,-1722,"20:03:02",2025-04-15 20:03:02,54,8,1000,0,"n","3",1,"","1",1,"b1.t8.p1.w54",0.376053240740741,TRUE
6,5,1,1,14,1.014,-1722,"20:03:02",2025-04-15 20:03:02,55,8,1000,0,"n","7",1,"","1",1,"b1.t8.p1.w55",0.376053240740741,TRUE
6,6,1,1,22,1.12,-1722,"20:03:02",2025-04-15 20:03:02,56,8,1000,0,"n","13",1,"","2",1,"b1.t8.p1.w56",0.376053240740741,TRUE
6,7,1,1,18,1.172,-1722,"20:03:02",2025-04-15 20:03:02,57,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w57",0.376053240740741,TRUE
6,8,1,1,22,1.145,-1722,"20:03:02",2025-04-15 20:03:02,58,8,1000,0,"n","9",1,"","2",1,"b1.t8.p1.w58",0.376053240740741,TRUE
6,9,1,1,19,1.346,-1722,"20:03:02",2025-04-15 20:03:02,59,8,1000,0,"n","6",1,"","2",1,"b1.t8.p1.w59",0.376053240740741,TRUE
6,10,1,1,29,1.134,-1722,"20:03:02",2025-04-15 20:03:02,60,8,1000,0,"y","6",1,"","3",1,"b1.t8.p1.w60",0.376053240740741,TRUE
1,1,1,2,18,1.328,-1721,"07:22:49",2025-04-16 07:22:49,1,8,1000,0,"n","5",1,"","3",1,"b1.t8.p1.w1",0.848125,TRUE
1,2,1,2,20,1.043,-1721,"07:22:49",2025-04-16 07:22:49,2,8,1000,0,"y","2",1,"","1",1,"b1.t8.p1.w2",0.848125,TRUE
1,3,1,2,29,1.258,-1721,"07:22:49",2025-04-16 07:22:49,3,8,1000,0,"y","15",1,"","1",1,"b1.t8.p1.w3",0.848125,TRUE
1,4,1,2,22,1.104,-1721,"07:22:49",2025-04-16 07:22:49,4,8,1000,0,"n","15",1,"","1",1,"b1.t8.p1.w4",0.848125,TRUE
1,5,1,2,19,1.127,-1721,"07:22:49",2025-04-16 07:22:49,5,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w5",0.848125,TRUE
1,6,1,2,22,0.74,-1721,"07:22:49",2025-04-16 07:22:49,6,8,1000,0,"y","7",1,"","1",1,"b1.t8.p1.w6",0.848125,TRUE
1,7,1,2,23,1.231,-1721,"07:22:49",2025-04-16 07:22:49,7,8,1000,0,"y","4",1,"","2",1,"b1.t8.p1.w7",0.848125,TRUE
1,8,1,2,17,1.262,-1721,"07:22:49",2025-04-16 07:22:49,8,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w8",0.848125,TRUE
1,9,1,2,28,1.078,-1721,"07:22:49",2025-04-16 07:22:49,9,8,1000,0,"y","14",1,"","3",1,"b1.t8.p1.w9",0.848125,TRUE
1,10,1,2,22,1.143,-1721,"07:22:49",2025-04-16 07:22:49,10,8,1000,0,"y","1",1,"","3",1,"b1.t8.p1.w10",0.848125,TRUE
2,1,1,2,16,1.209,-1721,"07:22:49",2025-04-16 07:22:49,11,8,1000,0,"n","7",1,"","2",1,"b1.t8.p1.w11",0.848125,TRUE
2,2,1,2,17,1.349,-1721,"07:22:49",2025-04-16 07:22:49,12,8,1000,0,"n","2",1,"","3",1,"b1.t8.p1.w12",0.848125,TRUE
2,3,1,2,22,0.802,-1721,"07:22:49",2025-04-16 07:22:49,13,8,1000,0,"y","8",1,"","1",1,"b1.t8.p1.w13",0.848125,TRUE
2,4,1,2,16,1.107,-1721,"07:22:49",2025-04-16 07:22:49,14,8,1000,0,"n","1",1,"","2",1,"b1.t8.p1.w14",0.848125,TRUE
2,5,1,2,22,1.161,-1721,"07:22:49",2025-04-16 07:22:49,15,8,1000,0,"y","2",1,"","2",1,"b1.t8.p1.w15",0.848125,TRUE
2,6,1,2,18,1.052,-1721,"07:22:49",2025-04-16 07:22:49,16,8,1000,0,"n","12",1,"","2",1,"b1.t8.p1.w16",0.848125,TRUE
2,7,1,2,21,1.265,-1721,"07:22:49",2025-04-16 07:22:49,17,8,1000,0,"y","7",1,"","2",1,"b1.t8.p1.w17",0.848125,TRUE
2,8,1,2,19,1.287,-1721,"07:22:49",2025-04-16 07:22:49,18,8,1000,0,"y","7",1,"","3",1,"b1.t8.p1.w18",0.848125,TRUE
2,9,1,2,13,1.2,-1721,"07:22:49",2025-04-16 07:22:49,19,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w19",0.848125,TRUE
2,10,1,2,18,1.012,-1721,"07:22:49",2025-04-16 07:22:49,20,8,1000,0,"n","13",1,"","1",1,"b1.t8.p1.w20",0.848125,TRUE
3,1,1,2,14,1.171,-1721,"07:22:49",2025-04-16 07:22:49,21,8,1000,0,"n","14",1,"","1",1,"b1.t8.p1.w21",0.848125,TRUE
3,2,1,2,18,1.141,-1721,"07:22:49",2025-04-16 07:22:49,22,8,1000,0,"n","4",1,"","3",1,"b1.t8.p1.w22",0.848125,TRUE
3,3,1,2,22,1.048,-1721,"07:22:49",2025-04-16 07:22:49,23,8,1000,0,"y","14",1,"","1",1,"b1.t8.p1.w23",0.848125,TRUE
3,4,1,2,20,1.441,-1721,"07:22:49",2025-04-16 07:22:49,24,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w24",0.848125,TRUE
3,5,1,2,16,1.312,-1721,"07:22:49",2025-04-16 07:22:49,25,8,1000,0,"n","all",1,"","1",1,"b1.t8.p1.w25",0.848125,TRUE
3,6,1,2,25,1.416,-1721,"07:22:49",2025-04-16 07:22:49,26,8,1000,0,"y","12",1,"","2",1,"b1.t8.p1.w26",0.848125,TRUE
3,7,1,2,26,1.299,-1721,"07:22:49",2025-04-16 07:22:49,27,8,1000,0,"y","15",1,"","3",1,"b1.t8.p1.w27",0.848125,TRUE
3,8,1,2,15,1.713,-1721,"07:22:49",2025-04-16 07:22:49,28,8,1000,0,"n","11",1,"","2",1,"b1.t8.p1.w28",0.848125,TRUE
3,9,1,2,23,1.298,-1721,"07:22:49",2025-04-16 07:22:49,29,8,1000,0,"y","none",1,"","2",1,"b1.t8.p1.w29",0.848125,TRUE
3,10,1,2,29,1.631,-1721,"07:22:49",2025-04-16 07:22:49,30,8,1000,0,"y","11",1,"","3",1,"b1.t8.p1.w30",0.848125,TRUE
4,1,1,2,22,1.054,-1721,"07:22:49",2025-04-16 07:22:49,31,8,1000,0,"y","10",1,"","1",1,"b1.t8.p1.w31",0.848125,TRUE
4,2,1,2,19,1.161,-1721,"07:22:49",2025-04-16 07:22:49,32,8,1000,0,"n","1",1,"","3",1,"b1.t8.p1.w32",0.848125,TRUE
4,3,1,2,22,1.342,-1721,"07:22:49",2025-04-16 07:22:49,33,8,1000,0,"y","9",1,"","2",1,"b1.t8.p1.w33",0.848125,TRUE
4,4,1,2,13,1.21,-1721,"07:22:49",2025-04-16 07:22:49,34,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w34",0.848125,TRUE
4,5,1,2,24,1.126,-1721,"07:22:49",2025-04-16 07:22:49,35,8,1000,0,"y","1",1,"","1",1,"b1.t8.p1.w35",0.848125,TRUE
4,6,1,2,17,1.41,-1721,"07:22:49",2025-04-16 07:22:49,36,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w36",0.848125,TRUE
4,7,1,2,23,1.257,-1721,"07:22:49",2025-04-16 07:22:49,37,8,1000,0,"y","11",1,"","1",1,"b1.t8.p1.w37",0.848125,TRUE
4,8,1,2,20,0.838,-1721,"07:22:49",2025-04-16 07:22:49,38,8,1000,0,"y","12",1,"","1",1,"b1.t8.p1.w38",0.848125,TRUE
4,9,1,2,18,1.528,-1721,"07:22:49",2025-04-16 07:22:49,39,8,1000,0,"n","12",1,"","1",1,"b1.t8.p1.w39",0.848125,TRUE
4,10,1,2,25,1.218,-1721,"07:22:49",2025-04-16 07:22:49,40,8,1000,0,"y","all",1,"","3",1,"b1.t8.p1.w40",0.848125,TRUE
5,1,1,2,26,1.367,-1721,"07:22:49",2025-04-16 07:22:49,41,8,1000,0,"y","14",1,"","2",1,"b1.t8.p1.w41",0.848125,TRUE
5,2,1,2,19,0.894,-1721,"07:22:49",2025-04-16 07:22:49,42,8,1000,0,"n","7",1,"","3",1,"b1.t8.p1.w42",0.848125,TRUE
