Plate,Well,Row,Column,Well.ID,Unique.ID,Chlamy,Microbe,Temperature,Salt.conc,Nitrogen.conc
1,6,1,6,1.6,T43.P1.W6,y,none,43,0,1000
1,7,1,7,1.7,T43.P1.W7,n,1,43,0,1000
1,8,1,8,1.8,T43.P1.W8,y,1,43,0,1000
1,9,1,9,1.9,T43.P1.W9,y,1,43,0,1000
1,1,1,1,1.1,T30.P1.W1,y,1,30,1.5,1000
1,2,1,2,1.2,T30.P1.W2,y,none,30,0,1
1,3,1,3,1.3,T30.P1.W3,y,1,30,0,700
1,4,1,4,1.4,T30.P1.W4,n,1,30,7.5,1000
1,5,1,5,1.5,T30.P1.W5,y,none,30,9,1000
1,6,1,6,1.6,T30.P1.W6,y,none,30,4.5,1000
1,7,1,7,1.7,T30.P1.W7,y,none,30,7.5,1000
1,8,1,8,1.8,T30.P1.W8,y,1,30,6,1000
1,9,1,9,1.9,T30.P1.W9,y,none,30,0,50
1,10,1,10,1.10,T30.P1.W10,n,1,30,3,1000
1,11,1,11,1.11,T30.P1.W11,n,1,30,0,1000
1,12,1,12,1.12,T30.P1.W12,y,none,30,0,5
1,13,2,1,2.1,T30.P1.W13,y,1,30,0,400
1,14,2,2,2.2,T30.P1.W14,y,1,30,12,1000
1,15,2,3,2.3,T30.P1.W15,y,none,30,0,1000
1,16,2,4,2.4,T30.P1.W16,y,none,30,0,100
1,17,2,5,2.5,T30.P1.W17,y,1,30,0,700
1,18,2,6,2.6,T30.P1.W18,y,1,30,1.5,1000
1,19,2,7,2.7,T30.P1.W19,y,1,30,0,100
1,20,2,8,2.8,T30.P1.W20,y,1,30,4.5,1000
1,21,2,9,2.9,T30.P1.W21,n,1,30,12,1000
1,22,2,10,2.10,T30.P1.W22,n,1,30,0,400
1,23,2,11,2.11,T30.P1.W23,y,1,30,0,50
1,24,2,12,2.12,T30.P1.W24,y,none,30,0,5
1,25,3,1,3.1,T30.P1.W25,n,1,30,1.5,1000
1,26,3,2,3.2,T30.P1.W26,n,1,30,0,5
1,27,3,3,3.3,T30.P1.W27,n,1,30,12,1000
1,28,3,4,3.4,T30.P1.W28,n,1,30,0,50
1,29,3,5,3.5,T30.P1.W29,y,none,30,0,25
1,30,3,6,3.6,T30.P1.W30,n,1,30,13.5,1000
1,31,3,7,3.7,T30.P1.W31,y,none,30,0,400
1,32,3,8,3.8,T30.P1.W32,y,1,30,0,1
1,33,3,9,3.9,T30.P1.W33,n,1,30,10.5,1000
1,34,3,10,3.10,T30.P1.W34,y,none,30,1.5,1000
1,35,3,11,3.11,T30.P1.W35,y,1,30,0,400
1,36,3,12,3.12,T30.P1.W36,n,1,30,0,100
1,37,4,1,4.1,T30.P1.W37,y,none,30,0,10
1,38,4,2,4.2,T30.P1.W38,y,1,30,4.5,1000
1,39,4,3,4.3,T30.P1.W39,n,1,30,0,0.5
1,40,4,4,4.4,T30.P1.W40,y,1,30,12,1000
1,41,4,5,4.5,T30.P1.W41,y,none,30,0,50
1,42,4,6,4.6,T30.P1.W42,y,1,30,0,5
1,43,4,7,4.7,T30.P1.W43,y,1,30,13.5,1000
1,44,4,8,4.8,T30.P1.W44,y,1,30,0,10
1,45,4,9,4.9,T30.P1.W45,y,none,30,13.5,1000
1,46,4,10,4.10,T30.P1.W46,y,1,30,0,10
1,47,4,11,4.11,T30.P1.W47,y,1,30,7.5,1000
1,48,4,12,4.12,T30.P1.W48,n,1,30,0,5
1,49,5,1,5.1,T30.P1.W49,y,none,30,13.5,1000
1,50,5,2,5.2,T30.P1.W50,n,1,30,0,50
1,51,5,3,5.3,T30.P1.W51,y,none,30,13.5,1000
1,52,5,4,5.4,T30.P1.W52,y,1,30,9,1000
1,53,5,5,5.5,T30.P1.W53,n,1,30,13.5,1000
1,54,5,6,5.6,T30.P1.W54,y,1,30,0,1
1,55,5,7,5.7,T30.P1.W55,n,1,30,10.5,1000
1,56,5,8,5.8,T30.P1.W56,y,1,30,6,1000
1,57,5,9,5.9,T30.P1.W57,n,1,30,0,100
1,58,5,10,5.10,T30.P1.W58,n,1,30,0,1
1,59,5,11,5.11,T30.P1.W59,y,none,30,0,700
1,60,5,12,5.12,T30.P1.W60,n,1,30,1.5,1000
1,61,6,1,6.1,T30.P1.W61,n,1,30,13.5,1000
1,62,6,2,6.2,T30.P1.W62,y,none,30,1.5,1000
1,63,6,3,6.3,T30.P1.W63,n,1,30,10.5,1000
1,64,6,4,6.4,T30.P1.W64,y,1,30,0,5
1,65,6,5,6.5,T30.P1.W65,n,1,30,3,1000
1,66,6,6,6.6,T30.P1.W66,n,1,30,0,100
1,67,6,7,6.7,T30.P1.W67,y,none,30,7.5,1000
1,68,6,8,6.8,T30.P1.W68,y,1,30,0,0.5
1,69,6,9,6.9,T30.P1.W69,n,1,30,0,10
1,70,6,10,6.10,T30.P1.W70,y,none,30,0,5
1,71,6,11,6.11,T30.P1.W71,n,1,30,0,700
1,72,6,12,6.12,T30.P1.W72,y,none,30,6,1000
1,73,7,1,7.1,T30.P1.W73,n,1,30,9,1000
1,74,7,2,7.2,T30.P1.W74,y,none,30,0,100
1,75,7,3,7.3,T30.P1.W75,y,none,30,12,1000
1,76,7,4,7.4,T30.P1.W76,n,1,30,7.5,1000
1,77,7,5,7.5,T30.P1.W77,n,1,30,12,1000
1,78,7,6,7.6,T30.P1.W78,y,none,30,0,1000
1,79,7,7,7.7,T30.P1.W79,y,none,30,1.5,1000
1,80,7,8,7.8,T30.P1.W80,y,none,30,9,1000
1,81,7,9,7.9,T30.P1.W81,y,1,30,3,1000
1,82,7,10,7.10,T30.P1.W82,n,1,30,0,400
1,83,7,11,7.11,T30.P1.W83,y,none,30,0,0.5
1,84,7,12,7.12,T30.P1.W84,y,none,30,0,700
1,85,8,1,8.1,T30.P1.W85,n,1,30,0,1000
1,86,8,2,8.2,T30.P1.W86,y,none,30,12,1000
1,87,8,3,8.3,T30.P1.W87,y,none,30,4.5,1000
1,88,8,4,8.4,T30.P1.W88,n,1,30,4.5,1000
1,89,8,5,8.5,T30.P1.W89,y,1,30,0,25
1,90,8,6,8.6,T30.P1.W90,y,1,30,0,50
1,91,8,7,8.7,T30.P1.W91,y,none,30,4.5,1000
1,92,8,8,8.8,T30.P1.W92,y,1,30,12,1000
1,93,8,9,8.9,T30.P1.W93,n,1,30,0,5
1,94,8,10,8.10,T30.P1.W94,n,1,30,0,700
1,95,8,11,8.11,T30.P1.W95,n,1,30,0,400
1,96,8,12,8.12,T30.P1.W96,y,1,30,0,0.5
2,97,1,1,1.1,T30.P2.W97,n,1,30,6,1000
2,98,1,2,1.2,T30.P2.W98,y,1,30,4.5,1000
2,99,1,3,1.3,T30.P2.W99,y,none,30,3,1000
2,100,1,4,1.4,T30.P2.W100,y,none,30,6,1000
2,101,1,5,1.5,T30.P2.W101,y,none,30,0,100
2,102,1,6,1.6,T30.P2.W102,y,1,30,13.5,1000
2,103,1,7,1.7,T30.P2.W103,n,1,30,6,1000
2,104,1,8,1.8,T30.P2.W104,y,none,30,0,1000
2,105,1,9,1.9,T30.P2.W105,y,1,30,0,50
2,106,1,10,1.10,T30.P2.W106,y,1,30,0,100
2,107,1,11,1.11,T30.P2.W107,y,1,30,10.5,1000
2,108,1,12,1.12,T30.P2.W108,n,1,30,7.5,1000
2,109,2,1,2.1,T30.P2.W109,n,1,30,0,700
2,110,2,2,2.2,T30.P2.W110,n,1,30,0,0.5
2,111,2,3,2.3,T30.P2.W111,n,1,30,9,1000
2,112,2,4,2.4,T30.P2.W112,y,none,30,10.5,1000
2,113,2,5,2.5,T30.P2.W113,y,1,30,3,1000
2,114,2,6,2.6,T30.P2.W114,n,1,30,0,1
2,115,2,7,2.7,T30.P2.W115,n,1,30,4.5,1000
2,116,2,8,2.8,T30.P2.W116,y,1,30,6,1000
2,117,2,9,2.9,T30.P2.W117,y,none,30,0,50
2,118,2,10,2.10,T30.P2.W118,n,1,30,0,0.5
2,119,2,11,2.11,T30.P2.W119,y,1,30,0,1
2,120,2,12,2.12,T30.P2.W120,y,none,30,0,10
2,121,3,1,3.1,T30.P2.W121,y,1,30,7.5,1000
2,122,3,2,3.2,T30.P2.W122,y,1,30,10.5,1000
2,123,3,3,3.3,T30.P2.W123,y,none,30,9,1000
2,124,3,4,3.4,T30.P2.W124,n,1,30,0,50
2,125,3,5,3.5,T30.P2.W125,y,1,30,9,1000
2,126,3,6,3.6,T30.P2.W126,y,none,30,0,25
2,127,3,7,3.7,T30.P2.W127,n,1,30,9,1000
2,128,3,8,3.8,T30.P2.W128,y,1,30,0,25
2,129,3,9,3.9,T30.P2.W129,y,none,30,0,700
2,130,3,10,3.10,T30.P2.W130,n,1,30,3,1000
2,131,3,11,3.11,T30.P2.W131,y,1,30,0,1000
2,132,3,12,3.12,T30.P2.W132,n,1,30,0,1000
2,133,4,1,4.1,T30.P2.W133,y,1,30,1.5,1000
2,134,4,2,4.2,T30.P2.W134,y,none,30,0,400
2,135,4,3,4.3,T30.P2.W135,y,none,30,6,1000
2,136,4,4,4.4,T30.P2.W136,y,none,30,10.5,1000
2,137,4,5,4.5,T30.P2.W137,y,none,30,0,0.5
2,138,4,6,4.6,T30.P2.W138,n,1,30,0,10
2,139,4,7,4.7,T30.P2.W139,y,none,30,3,1000
2,140,4,8,4.8,T30.P2.W140,y,1,30,0,25
2,141,4,9,4.9,T30.P2.W141,n,1,30,0,10
2,142,4,10,4.10,T30.P2.W142,y,1,30,9,1000
2,143,4,11,4.11,T30.P2.W143,y,none,30,3,1000
2,144,4,12,4.12,T30.P2.W144,y,1,30,3,1000
2,145,5,1,5.1,T30.P2.W145,y,none,30,12,1000
2,146,5,2,5.2,T30.P2.W146,y,1,30,0,100
2,147,5,3,5.3,T30.P2.W147,y,none,30,7.5,1000
2,148,5,4,5.4,T30.P2.W148,y,1,30,0,400
2,149,5,5,5.5,T30.P2.W149,n,1,30,0,25
2,150,5,6,5.6,T30.P2.W150,n,1,30,1.5,1000
2,151,5,7,5.7,T30.P2.W151,y,1,30,0,1000
2,152,5,8,5.8,T30.P2.W152,y,none,30,0,10
2,153,5,9,5.9,T30.P2.W153,y,none,30,0,1
2,154,5,10,5.10,T30.P2.W154,n,1,30,0,25
2,155,5,11,5.11,T30.P2.W155,y,1,30,10.5,1000
2,156,5,12,5.12,T30.P2.W156,n,1,30,6,1000
2,157,6,1,6.1,T30.P2.W157,y,1,30,0,1000
2,158,6,2,6.2,T30.P2.W158,y,none,30,0,400
2,159,6,3,6.3,T30.P2.W159,y,1,30,0,10
2,160,6,4,6.4,T30.P2.W160,y,1,30,0,0.5
2,161,6,5,6.5,T30.P2.W161,y,1,30,13.5,1000
2,162,6,6,6.6,T30.P2.W162,y,1,30,0,700
2,163,6,7,6.7,T30.P2.W163,y,1,30,0,5
2,164,6,8,6.8,T30.P2.W164,y,none,30,10.5,1000
2,165,6,9,6.9,T30.P2.W165,n,1,30,0,1
2,166,6,10,6.10,T30.P2.W166,n,1,30,0,25
2,167,6,11,6.11,T30.P2.W167,y,none,30,0,0.5
2,168,6,12,6.12,T30.P2.W168,n,1,30,4.5,1000
2,169,7,1,7.1,T30.P2.W169,y,1,30,7.5,1000
2,170,7,2,7.2,T30.P2.W170,y,none,30,0,25
2,171,7,3,7.3,T30.P2.W171,y,none,30,0,1
